search_log_id,jurisdiction_id,searched_at,searched_by_role,language,domains_searched,query_summary,result_state,evidence_path,review_status,notes
PUBSEARCH-0001,CAN-BC,2026-07-27T13:39:45Z,analyst-agent,French,annual reports,CAN-BC annual reports French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0002,CAN-BC,2026-07-27T13:39:45Z,analyst-agent,French,justice ministry,CAN-BC justice ministry French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0003,CAN-BC,2026-07-27T13:39:45Z,analyst-agent,French,judiciary/court administration,CAN-BC judiciary/court administration French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0004,BRA,2026-07-27T13:39:45Z,analyst-agent,Portuguese,judiciary/court administration,BRA judiciary/court administration Portuguese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0005,CAN,2026-07-27T13:39:45Z,analyst-agent,French,annual reports,CAN annual reports French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0006,CAN,2026-07-27T13:39:45Z,analyst-agent,French,judiciary/court administration,CAN judiciary/court administration French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0007,AUS,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,AUS statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0008,CAN-BC,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,CAN-BC judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0009,AUS,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,AUS annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0010,CAN-BC,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,CAN-BC annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0011,BRA,2026-07-27T13:39:45Z,analyst-agent,Portuguese,annual reports,BRA annual reports Portuguese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0012,BRA,2026-07-27T13:39:45Z,analyst-agent,Portuguese,justice ministry,BRA justice ministry Portuguese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0013,CAN,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,CAN annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0014,BRA,2026-07-27T13:39:45Z,analyst-agent,Portuguese,statistics/open data,BRA statistics/open data Portuguese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0015,AUS,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,AUS judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0016,CAN,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,CAN judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0017,CAN,2026-07-27T13:39:45Z,analyst-agent,French,statistics/open data,CAN statistics/open data French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0018,CAN,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,CAN statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0019,CAN-BC,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,CAN-BC justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0020,CAN-BC,2026-07-27T13:39:45Z,analyst-agent,French,statistics/open data,CAN-BC statistics/open data French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0021,CAN,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,CAN justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0022,CAN,2026-07-27T13:39:45Z,analyst-agent,French,justice ministry,CAN justice ministry French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0023,CAN-BC,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,CAN-BC statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0024,AUS,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,AUS justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0025,ESP,2026-07-27T13:39:45Z,analyst-agent,Spanish,judiciary/court administration,ESP judiciary/court administration Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0026,CHL,2026-07-27T13:39:45Z,analyst-agent,Spanish,judiciary/court administration,CHL judiciary/court administration Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0027,CHL,2026-07-27T13:39:45Z,analyst-agent,Spanish,justice ministry,CHL justice ministry Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0028,ESP,2026-07-27T13:39:45Z,analyst-agent,Catalan,judiciary/court administration,ESP judiciary/court administration Catalan official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0029,ESP,2026-07-27T13:39:45Z,analyst-agent,Spanish,justice ministry,ESP justice ministry Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0030,ESP,2026-07-27T13:39:45Z,analyst-agent,Basque,justice ministry,ESP justice ministry Basque official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0031,ESP,2026-07-27T13:39:45Z,analyst-agent,Basque,statistics/open data,ESP statistics/open data Basque official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0032,ESP,2026-07-27T13:39:45Z,analyst-agent,Galician,statistics/open data,ESP statistics/open data Galician official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0033,ESP,2026-07-27T13:39:45Z,analyst-agent,Spanish,statistics/open data,ESP statistics/open data Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0034,CHL,2026-07-27T13:39:45Z,analyst-agent,Spanish,statistics/open data,CHL statistics/open data Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0035,FRA,2026-07-27T13:39:45Z,analyst-agent,French,annual reports,FRA annual reports French official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0036,ESP,2026-07-27T13:39:45Z,analyst-agent,Galician,annual reports,ESP annual reports Galician official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0037,CHL,2026-07-27T13:39:45Z,analyst-agent,Spanish,annual reports,CHL annual reports Spanish official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0038,ESP,2026-07-27T13:39:45Z,analyst-agent,Basque,judiciary/court administration,ESP judiciary/court administration Basque official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0039,ESP,2026-07-27T13:39:45Z,analyst-agent,Galician,judiciary/court administration,ESP judiciary/court administration Galician official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
