source_id,canonical_url_present,last_verified,age_days,licence_status,health
INT-CEPEJ-STAT,True,2026-07-31,43,unknown,review_required
SWE-DOMSTOLSVERKET,True,2026-07-31,43,unknown,review_required
USA-MN-MJB,True,2026-08-14,29,restricted_or_unknown,review_required
INT-CEPEJ-2024,True,2026-07-31,43,restricted_or_unknown,review_required
INT-NCSC-COURTOOLS,True,2026-07-31,43,restricted_or_unknown,review_required
INT-NCSC-FAMILY,True,2026-07-31,43,restricted_or_unknown,review_required
INT-HCCH-CA,True,2026-07-31,43,restricted_or_unknown,review_required
INT-WJP-A2J,True,2026-07-19,55,restricted_or_unknown,review_required
GBR-EAW-MOJ-FAMILY-Q,True,2026-07-31,43,open_licence_verified,metadata_healthy
AUS-FCFCOA-AR,True,2026-07-19,55,commonwealth_copyright_check,metadata_healthy
NZL-MOJ-RESEARCH-DATA,True,2026-07-19,55,crown_copyright_check,metadata_healthy
SGP-JUD-STATS,True,2026-07-19,55,government_terms_check,metadata_healthy
CAN-BC-PC-TTT,True,2026-07-19,55,government_terms_check,metadata_healthy
USA-CA-JCC-CSR,True,2026-07-19,55,government_terms_check,metadata_healthy
IND-NJDG,True,2026-07-19,55,government_terms_check,metadata_healthy
BRA-CNJ-DATAJUD,True,2026-07-19,55,government_terms_check,metadata_healthy
MEX-INEGI-CNIJE,True,2026-07-19,55,government_open_data_check,metadata_healthy
ESP-CGPJ-DURATION,True,2026-07-19,55,government_terms_check,metadata_healthy
ZAF-JUD-ANNUAL,True,2026-07-19,55,government_terms_check,metadata_healthy
GBR-EAW-NUFFIELD-DT,True,2026-07-19,55,restricted_or_unknown,review_required
